Nummer	Taxi	Bus	Metro	Boot
1	8,9	46,58	46	
2	20,10			
3	11,12,4	22,23		
4	3,13			
5	15,16			
6	29,7			
7	6,17	42		
8	1,18,19			
9	1,19,20			
10	2,21,11,34			
11	3,10,22			
12	3,23			
13	4,23,24,14	23,14,52	46,67,89	
14	13,25,15	13,15		
15	14,5,26,28,16	14,41,29		
16	15,5,28,29			
17	7,29,30			
18	8,31,43			
19	8,9,32			
20	9,2,33			
21	33,10			
22	34,11,23,35	34,3,23,65		
23	12,22,37,13	3,22,67,13		
24	13,37,38			
25	14,38,39			
26	15,39,27			
27	26,28,40			
28	15,16,27,41			
29	16,6,17,42,41	15,41,42,55		
30	17,42			
31	18,43,44			
32	19,44,33,45			
33	20,32,46,21			
34	10,22,48,47	22,46,63		
35	22,36,48,65			
36	35,37,49			
37	23,24,50,36			
38	24,25,50,51			
39	25,26,51,52			
40	27,41,53,52			
41	28,29,40,54	15,29,87,52		
42	30,29,56,72	7,29,72		
43	18,31,57			
44	31,32,58			
45	58,46,32,59,60			
46	33,45,47,61	1,58,78,34	1,74,79,13	
47	46,34,62			
48	34,35,62,63			
49	36,50,66			
50	37,38,49			
51	38,39,52,67,68			
52	39,40,51,69	13,41,86,67		
53	40,69,54			
54	41,53,55,70			
55	54,71	29,89		
56	42,91			
57	43,58,73			
58	57,44,45,59,74,75	1,74,46,77		
59	58,45,75,76			
60	45,76,61			
61	60,76,62,46,78			
62	61,47,48,79			
63	79,48,64,80,79	34,65,100,79		
64	63,65,81			
65	35,64,66,82	22,63,82,67		
66	49,65,67,82			
67	66,51,68,84	23,52,102,65,82	13,79,111,89	
68	67,51,69,85			
69	52,53,68,86			
70	54,71,87			
71	55,70,89,72			
72	71,42,90,91	42,105,107		
73	57,92,74			
74	73,92,58,75	94,58	46	
75	58,74,59,94			
76	59,60,61,77			
77	76,95,78,96	58,94,78,124		
78	77,61,79,97	77,46,79		
79	78,62,63,98	78,63	46,93,67,111	
80	63,99,100			
81	64,82,100			
82	65,66,81,101	65,67,100,140		
83	101,102			
84	67,85			
85	68,84,103			
86	103,69,104	102,87,52,116		
87	70,88	86,41,105		
88	87,89,117			
89	88,71,105	55,105	13,67,140,128	
90	72,91,105			
91	72,56,90,105,107			
92	73,74,93			
93	92,94	94	79	
94	93,75,95	93,74,77		
95	94,77,122			
96	77,97,109			
97	96,78,98,109			
98	97,79,99,110			
99	98,110,80,112			
100	80,81,112,101,113	63,82,111		
101	100,82,83,114			
102	83,103,115	67,86,127		
103	102,85,86			
104	86,116			
105	89,90,91,106,108	87,89,72,107,108		
106	105,107			
107	106,91,119	105,72,161		
108	117,105,119	116,135,105		115
109	96,97,110,124			
110	98,99,109,111			
111	110,112,124	100,124	79,163,153,67	
112	99,111,125,100			
113	100,125,114			
114	113,101,131,115,132,126			
115	114,102,126,127			108,157
116	127,104,118,117	127,86,108,142		
117	116,88,108,129			
118	134,116,142,129			
119	108,107,136			
120	121,144			
121	120,145,122			
122	121,95,123,146	144,123		
123	122,137,148,149,124	122,144,165,124		
124	123,138,109,111,130	123,153,77,111		
125	112,113,131			
126	114,127,140,115			
127	126,115,116,133,134	102,116,133		
128	142,143,160,172,188	142,135,161,187,199	140,89,185	
129	118,117,142,143,135			
130	124,131,139			
131	130,125,114			
132	114,140			
133	140,127,141	127,140,157		
134	127,141,142,118			
135	129,143,161,136	108,161,128		
136	135,119,162			
137	147,123			
138	124,150,152			
139	130,153,154,140			
140	139,132,154,156,133,126	154,156,133,82	153,89,128	
141	133,134,142,158			
142	141,134,118,129,143,128,158	157,116,128		
143	142,129,135,160,128			
144	120,145,177	122,123,163		
145	144,121,146			
146	145,122,147,163			
147	146,137,164			
148	123,149,164			
149	148,123,150,165			
150	149,138,151			
151	150,152,165,166			
152	138,151,153			
153	152,166,154,139,167	124,154,184,180	111,140,163,185	
154	153,139,140,155	153,140,156		
155	154,167,168,156			
156	155,140,157,169	140,157,154,184		
157	156,158,170	156,133,185,142		115,194
158	157,141,142,159			
159	170,158,186,172,198			
160	128,143,161,173			
161	160,135,174	128,135,107,199		
162	136,175			
163	146,177	144,176,191	111,153	
164	147,178,179,148			
165	149,179,151,180	123,191,180		
166	151,153,183,181			
167	153,183,155,168			
168	167,184,155			
169	156,184			
170	157,185,159			
171	199,173,175			
172	159,128,187			
173	160,188,171,174			
174	161,173,175			
175	162,174,171			
176	177,189	163,190		
177	144,163,176			
178	164,191,189			
179	164,165,191			
180	165,181,193	165,153,190,184		
181	180,166,182,193			
182	181,183,195			
183	166,167,182,196			
184	168,169,196,197,185	153,156,180,185		
185	184,170,186	184,157,187	153,128	
186	185,159,198			
187	172,188,198	128,185		
188	187,128,173,199			
189	176,178,190			
190	189,191,192	176,191,180		
191	190,192,179,178	190,163,165		
192	190,191,194			
193	180,181,194			
194	193,192,195			157
195	194,182,197			
196	183,184,197			
197	195,196,184			
198	186,187,199,159			
199	198,188,171	128,161		
